Nazwa,Cena,Białko,Tłuszcz,Popiół,Włókno,Wilgotność,Wapń,Fosfor,Węglowodany,Energia,Skład,Opis,species,food_type
Carnilove Adult Turkey&Valerian Root Mokra Karma dla kota op. 85g,5.90,8.0%,4.8%,2.1%,0.5%,82.0%,,,,,"Filet mięsny 85% (kurczak 71%, indyk14%), bulion 12%, korzeń waleriany 1%, olej lniany 1%, minerały 0,5%, skrobia roślinna 0,5%.","Wysokiej jakości mokra karma dedykowana dla kotów dorosłych.Dbając o zdrowie naszych Mruczków, oprócz pełnoporcjowej karmy suchej, warto również ""od czasu do czasu"" podawać kotom saszetkę karmy mokrej. Nie od dziś wiadomo, że większość kotów pije bardzo mało wody. Ma to niestety swoje skutki uboczne w coraz częściej występującej chorobie nerek. Karma mokra pomaga uzupełnić niedobór wody w organizmie, a co za tym idzie, wspiera pracę nerek. Carnilove to wysokiej jakości mokra karma w postaci kawałków mięsa w sosie. Do jej produkcji zostało użyte hipoalergiczne i dobrze przyswajalne mięso z indyka, które ma za zadanie wspierać optymalną kondycję organizmu oraz rozwój mięśni. Waleriana działa uspokajająco na układ nerwowy oraz pomaga w walce ze stresem. Bez zbóż, ziemniaków, cukru, GMO, soi oraz konserwantów i barwników. Idealna dla kotów wybrednych ze względu na swój aromatyczny zapach. INSTRUKCJA DOTYCZĄCA KARMIENIA: Podawać w temperaturze pokojowej. Należy zapewnić kotu stały dostęp do miski świeżej wody. Zawartość otwartego opakowania można zamrozić lub należy przechowywać ją w lodówce i zużyć w ciągu 3 dni. Przechowywać w suchym i chłodnym miejscu, z dala od bezpośredniego działania promieni słonecznych",cat,wet
Carnilove Adult Turkey&Valerian Root Mokra Karma dla kota op. 85g Pakiet 24szt.,136.80,8.0%,4.8%,2.1%,0.5%,82.0%,,,,,"Filet mięsny 85% (kurczak 71%, indyk14%), bulion 12%, korzeń waleriany 1%, olej lniany 1%, minerały 0,5%, skrobia roślinna 0,5%.","Wysokiej jakości mokra karma dedykowana dla kotów dorosłych.Dbając o zdrowie naszych Mruczków, oprócz pełnoporcjowej karmy suchej, warto również ""od czasu do czasu"" podawać kotom saszetkę karmy mokrej. Nie od dziś wiadomo, że większość kotów pije bardzo mało wody. Ma to niestety swoje skutki uboczne w coraz częściej występującej chorobie nerek. Karma mokra pomaga uzupełnić niedobór wody w organizmie, a co za tym idzie, wspiera pracę nerek. Carnilove to wysokiej jakości mokra karma w postaci kawałków mięsa w sosie. Do jej produkcji zostało użyte hipoalergiczne i dobrze przyswajalne mięso z indyka, które ma za zadanie wspierać optymalną kondycję organizmu oraz rozwój mięśni. Waleriana działa uspokajająco na układ nerwowy oraz pomaga w walce ze stresem. Bez zbóż, ziemniaków, cukru, GMO, soi oraz konserwantów i barwników. Idealna dla kotów wybrednych ze względu na swój aromatyczny zapach. INSTRUKCJA DOTYCZĄCA KARMIENIA: Podawać w temperaturze pokojowej. Należy zapewnić kotu stały dostęp do miski świeżej wody. Zawartość otwartego opakowania można zamrozić lub należy przechowywać ją w lodówce i zużyć w ciągu 3 dni. Przechowywać w suchym i chłodnym miejscu, z dala od bezpośredniego działania promieni słonecznych",cat,wet
Carnilove Adult Wild Boar&Chamomile Mokra Karma dla kota op. 85g,5.90,8.0%,4.8%,2.1%,0.5%,82.0%,,,,,"Filet mięsny 85% (kurczak 71%, dzik 14%), bulion 12%, rumianek 1%, olej lniany 1%, minerały 0,5%, skrobia roślinna 0,5%.","Wysokiej jakości mokra karma dedykowana dla kotów dorosłych.Dbając o zdrowie naszych Mruczków, oprócz pełnoporcjowej karmy suchej, warto również ""od czasu do czasu"" podawać kotom saszetkę karmy mokrej. Nie od dziś wiadomo, że większość kotów pije bardzo mało wody. Ma to niestety swoje skutki uboczne w coraz częściej występującej chorobie nerek. Karma mokra pomaga uzupełnić niedobór wody w organizmie, a co za tym idzie, wspiera pracę nerek. Carnilove to wysokiej jakości mokra karma w postaci kawałków mięsa w sosie. Do jej produkcji zostało użyte wysoko przyswajalne mięso z dzika, które przede wszystkim wspiera rozwój mięśni. Ma ono bardzo niską zawartość tłuszczu i cholesterolu, wspiera optymalną kondycję, w tym zdrowe serce oraz układ krążenia. Rumianek bogaty jest w przeciwutleniacze, które wspierają zdrową skórę i sierść oraz mają właściwości przeciwbakteryjne i przeciwwirusowe. Dodatkowo pomaga utrzymać zdrowie przewodu pokarmowego.Bez zbóż, ziemniaków, cukru, GMO, soi oraz konserwantów i barwników. Idealna dla kotów wybrednych ze względu na swój aromatyczny zapach.INSTRUKCJA DOTYCZĄCA KARMIENIA: Podawać w temperaturze pokojowej. Należy zapewnić kotu stały dostęp do miski świeżej wody. Zawartość otwartego opakowania można zamrozić lub należy przechowywać ją w lodówce i zużyć w ciągu 3 dni. Przechowywać w suchym i chłodnym miejscu, z dala od bezpośredniego działania promieni słonecznych",cat,wet
Carnilove Adult Wild Boar&Chamomile Mokra Karma dla kota op. 85g Pakiet 24szt.,136.80,8.0%,4.8%,2.1%,0.5%,82.0%,,,,,"Filet mięsny 85% (kurczak 71%, dzik 14%), bulion 12%, rumianek 1%, olej lniany 1%, minerały 0,5%, skrobia roślinna 0,5%.","Wysokiej jakości mokra karma dedykowana dla kotów dorosłych.Dbając o zdrowie naszych Mruczków, oprócz pełnoporcjowej karmy suchej, warto również ""od czasu do czasu"" podawać kotom saszetkę karmy mokrej. Nie od dziś wiadomo, że większość kotów pije bardzo mało wody. Ma to niestety swoje skutki uboczne w coraz częściej występującej chorobie nerek. Karma mokra pomaga uzupełnić niedobór wody w organizmie, a co za tym idzie, wspiera pracę nerek. Carnilove to wysokiej jakości mokra karma w postaci kawałków mięsa w sosie. Do jej produkcji zostało użyte wysoko przyswajalne mięso z dzika, które przede wszystkim wspiera rozwój mięśni. Ma ono bardzo niską zawartość tłuszczu i cholesterolu, wspiera optymalną kondycję, w tym zdrowe serce oraz układ krążenia. Rumianek bogaty jest w przeciwutleniacze, które wspierają zdrową skórę i sierść oraz mają właściwości przeciwbakteryjne i przeciwwirusowe. Dodatkowo pomaga utrzymać zdrowie przewodu pokarmowego.Bez zbóż, ziemniaków, cukru, GMO, soi oraz konserwantów i barwników. Idealna dla kotów wybrednych ze względu na swój aromatyczny zapach.INSTRUKCJA DOTYCZĄCA KARMIENIA: Podawać w temperaturze pokojowej. Należy zapewnić kotu stały dostęp do miski świeżej wody. Zawartość otwartego opakowania można zamrozić lub należy przechowywać ją w lodówce i zużyć w ciągu 3 dni. Przechowywać w suchym i chłodnym miejscu, z dala od bezpośredniego działania promieni słonecznych",cat,wet
Carnilove Adult Wild Origin Fillets Mokra Karma dla kota op. 12x85g,57.99,8.5%,4.5%,2.2%,0.5%,82.0%,,,,,W zależności od smaku.,"Wysokiej jakości mokra karma dedykowana dla kotów dorosłych.Dbając o zdrowie naszych Mruczków, oprócz pełnoporcjowej karmy suchej, warto również ""od czasu do czasu"" podawać kotom saszetkę karmy mokrej. Nie od dziś wiadomo, że większość kotów pije bardzo mało wody. Ma to niestety swoje skutki uboczne w coraz częściej występującej chorobie nerek. Karma mokra pomaga uzupełnić niedobór wody w organizmie, a co za tym idzie, wspiera pracę nerek. Carnilove to wysokiej jakości mokra karma w postaci kawałków mięsa w sosie. Do jej produkcji zostały użyte hypoalergiczne i dobrze przyswajalne rodzaje mięsa. Każde z nich w inny, pożyteczny sposób wpływa na przewód pokarmowy oraz kondycję organizmu. Bez zbóż, ziemniaków, cukru, GMO, soi oraz konserwantów i barwników. Idealna dla kotów wybrednych ze względu na swój aromatyczny zapach.W zestawie znajdują się cztery różne smaki: indyk z walerianą, kaczka z kocimiętką, pstrąg z jeżówką oraz bażant z liściem maliny.Skład w kolejności podanej j/w: - Filet mięsny 85% (kurczak 71%, indyk14%), bulion 12%, korzeń waleriany 1%, olej lniany 1%, minerały 0,5%, skrobia roślinna 0,5%,- Filet mięsny 85% (kurczak 71%, kaczka 14%), bulion 12%, kocimiętka 1%, olej lniany 1%, minerały 0,5%, skrobia roślinna 0,5%,- Filet mięsny 85% (kurczak 71%, pstrąg 14%), bulion 12%, echinacea 1%, olej lniany 1%, minerały 0,5%, skrobia roślinna 0,5%, - Filet mięsny 85% (kurczak 71%, bażant 14%), bulion 12%, liść maliny 1%, olej lniany 1%, minerały 0,5%, skrobia roślinna 0,5%.INSTRUKCJA DOTYCZĄCA KARMIENIA: Podawać w temperaturze pokojowej. Zawartość otwartego opakowania można zamrozić lub należy przechowywać ją w lodówce i zużyć w ciągu 3 dni. Przechowywać w suchym i chłodnym miejscu, z dala od bezpośredniego działania promieni słonecznych.",cat,wet
Carnilove Kitten Rabbit&Marigold Mokra Karma dla kociąt op. 85g,5.90,9.5%,4.5%,2.5%,0.5%,82.0%,,,,,"Filet mięsny 85% (kurczak 71%, królik 14%), bulion 12%, nagietek 1%, olej lniany 1%, minerały 0,5%, skrobia roślinna 0,5%.","Wysokiej jakości mokra karma dedykowana dla kociąt.Kiedy w domu pojawia się mały kociak, czasami wszystko zmienia się o 180 stopni. Układamy plan swojego dnia tak, aby zapewnić małemu Mruczkowi jak najwięcej naszej uwagi. Aby prawidłowo dbać o jego rozwój, warto podawać mu jedzenie z wysokiej półki.Carnilove to wysokiej jakości mokra karma w postaci kawałków mięsa w sosie. Do jej produkcji zostało użyte dobrze przyswajalne mięso z królika. Charakteryzuje się właściwościami poprawiającymi zdrowie przewodu pokarmowego. Bardzo niska zawartość tłuszczu pomaga utrzymać ogólną kondycję organizmu. Nagietek ma właściwości przeciwzapalne oraz korzystnie wpływa na skórę, sierść, stawy i serce. Wszystko po to, aby Twój kociak rósł zdrowoBez zbóż, ziemniaków, cukru, GMO, soi oraz konserwantów i barwników. Idealna dla kotów wybrednych ze względu na swój aromatyczny zapach.INSTRUKCJA DOTYCZĄCA KARMIENIA: Podawać w temperaturze pokojowej. Należy zapewnić kotu stały dostęp do miski świeżej wody. Zawartość otwartego opakowania można zamrozić lub należy przechowywać ją w lodówce i zużyć w ciągu 3 dni. Przechowywać w suchym i chłodnym miejscu, z dala od bezpośredniego działania promieni słonecznych.",cat,wet
Carnilove Kitten Rabbit&Marigold Mokra Karma dla kociąt op. 85g Pakiet 24szt.,136.80,9.5%,4.5%,2.5%,0.5%,82.0%,,,,,"Filet mięsny 85% (kurczak 71%, królik 14%), bulion 12%, nagietek 1%, olej lniany 1%, minerały 0,5%, skrobia roślinna 0,5%.","Wysokiej jakości mokra karma dedykowana dla kociąt.Kiedy w domu pojawia się mały kociak, czasami wszystko zmienia się o 180 stopni. Układamy plan swojego dnia tak, aby zapewnić małemu Mruczkowi jak najwięcej naszej uwagi. Aby prawidłowo dbać o jego rozwój, warto podawać mu jedzenie z wysokiej półki.Carnilove to wysokiej jakości mokra karma w postaci kawałków mięsa w sosie. Do jej produkcji zostało użyte dobrze przyswajalne mięso z królika. Charakteryzuje się właściwościami poprawiającymi zdrowie przewodu pokarmowego. Bardzo niska zawartość tłuszczu pomaga utrzymać ogólną kondycję organizmu. Nagietek ma właściwości przeciwzapalne oraz korzystnie wpływa na skórę, sierść, stawy i serce. Wszystko po to, aby Twój kociak rósł zdrowoBez zbóż, ziemniaków, cukru, GMO, soi oraz konserwantów i barwników. Idealna dla kotów wybrednych ze względu na swój aromatyczny zapach.INSTRUKCJA DOTYCZĄCA KARMIENIA: Podawać w temperaturze pokojowej. Należy zapewnić kotu stały dostęp do miski świeżej wody. Zawartość otwartego opakowania można zamrozić lub należy przechowywać ją w lodówce i zużyć w ciągu 3 dni. Przechowywać w suchym i chłodnym miejscu, z dala od bezpośredniego działania promieni słonecznych.",cat,wet
Carnilove Kitten Salmon&Turkey Mokra Karma dla kociąt op. 100g,7.10,11.0%,6.6%,2.1%,0.4%,79.0%,,,,,,"Wysokomięsna karma mora z indykiem i łososiem dla kociąt i młodych kotów. Karmy mokre, dzięki wysokiej zawartości wody, sprzyjają produkcji mniej skoncentrowanego moczu, natomiast bardziej rozcieńczony mocz jest korzystny dla zapobiegania kamicy nerkowej u kotów. Karma mokra Carnilove Turkey&Salmon to dieta bogata w mięso z indyka oraz łososia. Pokarm został stworzony z myślą o zdrowiu kociąt i młodych kotów. Wysoka zawartość mięsa i brak zbóż to podstawowe cechy karmy, dzięki czemu sprawdzi się ona również u kotów z tendencją do alergii pokarmowych. Karma wzbogacona została o dodatek żurawiny, który ma pozytywny wpływ na drogi moczowe kota. Karma może być podawana jako podstawowy element diety jak i dodatek do karmy suchej.",cat,wet
Carnilove Kitten Salmon&Turkey Mokra Karma dla kociąt op. 100g Pakiet 12szt.,81.60,11.0%,6.6%,2.1%,0.4%,79.0%,,,,,"Mięso z indyka 35%, wątróbka z indyka, serca indycze bulion 42.8%, łosoś 20%, żurawina 1%, składniki mineralne, olej lniany","Wysokomięsna karma mora z indykiem i łososiem dla kociąt i młodych kotów. Karmy mokre, dzięki wysokiej zawartości wody, sprzyjają produkcji mniej skoncentrowanego moczu, natomiast bardziej rozcieńczony mocz jest korzystny dla zapobiegania kamicy nerkowej u kotów. Karma mokra Carnilove Turkey&Salmon to dieta bogata w mięso z indyka oraz łososia. Pokarm został stworzony z myślą o zdrowiu kociąt i młodych kotów. Wysoka zawartość mięsa i brak zbóż to podstawowe cechy karmy, dzięki czemu sprawdzi się ona również u kotów z tendencją do alergii pokarmowych. Karma wzbogacona została o dodatek żurawiny, który ma pozytywny wpływ na drogi moczowe kota. Karma może być podawana jako podstawowy element diety jak i dodatek do karmy suchej.",cat,wet
Carnilove Pakiet degustacyjny Mokra Karma dla kota op. 5x85g,27.50,,,,,,,,,,,"Wysokiej jakości mokra karma dedykowana dla kotów dorosłych.Dbając o zdrowie naszych Mruczków, oprócz pełnoporcjowej karmy suchej, warto również ""od czasu do czasu"" podawać kotom saszetkę karmy mokrej. Nie od dziś wiadomo, że większość kotów pije bardzo mało wody. Ma to niestety swoje skutki uboczne w coraz częściej występującej chorobie nerek. Karma mokra pomaga uzupełnić niedobór wody w organizmie, a co za tym idzie, wspiera pracę nerek. Carnilove to wysokiej jakości mokra karma w postaci kawałków mięsa w sosie. Do jej produkcji zostało użyte hypoalergiczne i dobrze przyswajalne mięso z bażanta. Charakteryzuje się wysoką zawartością kwasów tłuszczowych, które chronią serce i układ krążenia. Wysoki poziom selenu osłania komórki przed stresem oksydacyjnym, co dodatkowo wpływa na jakość skóry, stawów oraz pracę mózgu. Liść maliny, który jest bogaty w przeciwutleniacze o właściwościach przeciwzapalnych wspiera zdrowy układ moczowy, dziąsła, wątrobę i stawy. Bez zbóż, ziemniaków, cukru, GMO, soi oraz konserwantów i barwników. Idealna dla kotów wybrednych ze względu na swój aromatyczny zapach. INSTRUKCJA DOTYCZĄCA KARMIENIA: Podawać w temperaturze pokojowej. Zawartość otwartego opakowania można zamrozić lub należy przechowywać ją w lodówce i zużyć w ciągu 3 dni. Przechowywać w suchym i chłodnym miejscu, z dala od bezpośredniego działania promieni słonecznych Pakiet zawiera: - Carnilove Grain-Free Pheasant with Raspberry Leaf for Adult Cat 85g - Carnilove Grain-Free Quail with Dandelion for Sterilized Cats 85g - Carnilove Grain-Free Trout with Echinacea for Adult Cats 85g - Carnilove Grain-Free Turkey with Valerian Root for Adult Cats 85g - Carnilove Grain-Free Wild Boar with Chamomile for Adult Cats 85g",cat,wet
Comfy Appetit Premium Kitten Mousse z Kurczakiem Mokra karma dla kociąt 85g,4.50,8.0%,4.9%,2.8%,0.2%,81.8%,,,,,"Mięso i podroby 92%: kurczak (mięso, wątróbka), łosoś, wołowina (płuca, wątroba), tapioka, olej z łososia, substancje mineralne, ksyloza, FOS, MOS","Wysokiej jakości karma pełnoporcjowa z dobrze wyselekcjonowanego mięsa z kurczaka dla kociąt.Karmy mokre charakteryzują się większą smakowitością niż karmy suche. Dzięki dużej wilgotności wspierają pracę nerek i układu moczowego, nawadniając organizm zwierzaka.Comfy Appetit PREMIUM to pełnoporcjowa mokra karma dla kociąt. Wyprodukowana z najwyższej jakości mięsa. Pokarm zawiera 92% mięsa i składników pochodzenia zwierzęcego.Bez dodatków barwników, wzmacniaczy smaku, zbóż ani konserwantów. Kurczak jest lekkostrawny, niskotłuszczowy i łatwo przyswajalny, dodatkowo dostarcza niacynę (witaminę B3) Aromatyczny, smakowity pasztet, naturalnie wspiera zdrowy wygląd sierści i skóry, a dzięki dużej ilości minerałów wspiera prawidłowe funkcjonowanie układu kostnego podczas wzrostu.",cat,wet
Comfy Appetit Premium Kitten Mousse z Kurczakiem Mokra karma dla kociąt 85g Pakiet 12szt.,51.60,8.0%,4.9%,2.8%,0.2%,81.8%,,,,,"Mięso i podroby 92%: kurczak (mięso, wątróbka), łosoś, wołowina (płuca, wątroba), tapioka, olej z łososia, substancje mineralne, ksyloza, FOS, MOS","Wysokiej jakości karma pełnoporcjowa z dobrze wyselekcjonowanego mięsa z kurczaka dla kociąt.Karmy mokre charakteryzują się większą smakowitością niż karmy suche. Dzięki dużej wilgotności wspierają pracę nerek i układu moczowego, nawadniając organizm zwierzaka.Comfy Appetit PREMIUM to pełnoporcjowa mokra karma dla kociąt. Wyprodukowana z najwyższej jakości mięsa. Pokarm zawiera 92% mięsa i składników pochodzenia zwierzęcego.Bez dodatków barwników, wzmacniaczy smaku, zbóż ani konserwantów. Kurczak jest lekkostrawny, niskotłuszczowy i łatwo przyswajalny, dodatkowo dostarcza niacynę (witaminę B3) Aromatyczny, smakowity pasztet, naturalnie wspiera zdrowy wygląd sierści i skóry, a dzięki dużej ilości minerałów wspiera prawidłowe funkcjonowanie układu kostnego podczas wzrostu.",cat,wet
